ID,roi_rIFG,roi_rpSMA,roi_rSMA
CC110033,3.63662843939699,2.3707384135988,2.06532960320696
CC110037,3.12331603044345,2.33302247818605,1.62774206679544
CC110045,2.06589060359531,2.28133158477736,1.60262021753523
CC110056,3.57654532385461,2.62346338342737,1.88532462826482
CC110069,2.07596645605417,1.94445513943095,1.57712085600252
CC110087,1.97565378671811,1.74875519746616,1.43232460522357
CC110098,2.29336387434123,1.96428704850468,1.69608199449233
CC110101,3.69625616367952,2.23761527037915,3.14625108830723
CC110126,3.21042231571527,2.33461388688029,1.89883920145623
CC110174,1.80646810708223,1.73392309230051,1.28940111619455
CC110182,4.78507392789111,3.29864856931898,2.32275244188897
CC110187,2.47799492176668,1.61075019836426,1.32151059898329
CC110319,2.73903787724766,2.24289509543666,1.97163015530433
CC110411,3.95573895948905,2.98667009818701,2.53249797703307
CC110606,3.69534496907835,3.18068453264825,1.64989535308179
CC112141,2.27874869623302,1.82912377663601,1.3373828302195
CC120008,2.49404965359488,2.03000651171178,2.12220689396799
CC120049,2.35655451703955,2.06922376155853,1.26268682509293
CC120061,2.64146154309496,2.41780607494307,2.06522934672273
CC120065,2.19294047061308,2.50869179213489,1.48384837015176
CC120120,2.53776272285132,1.72703477335565,1.89564745955997
CC120123,2.13238478295597,1.88769994988854,1.50870105955336
CC120166,2.13304834012632,1.94474600715402,1.98695231219869
CC120182,3.78629729777207,2.4925900462233,1.99969354235096
CC120208,2.26597818621883,2.40163964253885,1.49983779000647
CC120218,2.47978623855261,1.9989438895826,1.58649676523091
CC120234,3.17117084838726,1.94698030124476,2.25942645249543
CC120264,2.13152212272456,1.94664769260972,2.25451996444184
CC120276,1.4630892622618,1.81939604252945,1.38600070241057
CC120286,3.18396665137491,2.25561395692237,1.48978901056596
CC120309,2.74753518899282,1.88410305829696,1.74575107185929
CC120313,2.53092161961544,1.74434840384825,1.22760432001985
CC120319,2.29873529922815,1.76735603073497,1.31232742615688
