"subject","mu.true","mu.false","sigma.true","sigma.false","tau.true","tau.false","muS","sigmaS","tauS","tf","gf","SSRT","go_match","go_mismatch","tf_prob","gf_prob"
"220232",0.362146785322551,0.834867993887388,0.0459691528483005,0.272252912124776,0.0535275703854355,0.75118316647585,0.162982668394652,0.0310341148739938,0.0286228853890517,-1.5388193987559,-2.47082170256781,0.193582243271718,0.415841308312137,1.64456934184984,0.0619241963334726,0.00674015071239921
"220419",0.355753363329626,1.12169135909048,0.0362845182158283,0.408076389988956,0.0168678121280105,0.599311829642034,0.107519467946281,0.0207667365399834,0.025965768047889,-2.33707321795886,-3.04866225992026,0.133456315401714,0.372724848037195,1.79899187643176,0.00971768865907569,0.00114931374059396
"220519",0.356709153595595,1.6175012265924,0.0337352517845402,0.516604392904752,0.0245990312830325,0.746727378689494,0.177112364821529,0.0342265461592493,0.0361693521691138,-2.2212559875981,-3.07207935138094,0.213816996715393,0.38136216232688,2.43364761261343,0.0131668143923921,0.00106286603989707
"220535",0.343725730344365,0.900099078076885,0.0420354604032591,0.298323841141575,0.0331547002708046,0.592189163871064,0.160153648209192,0.0746995360123987,0.0257956727334037,-2.27219863865927,-3.0646963170143,0.188062666032395,0.37701370112491,1.57563619680718,0.011537257901527,0.00108945561459872
"220635",0.478825178467255,1.87058788378032,0.0655474821904549,0.578022581783278,0.0234402163969771,0.764595793862655,0.126047547279966,0.0131092384873205,0.00911370030572606,-2.59937057045929,-3.07868602407438,0.135780893492118,0.502255954188712,2.70196747923913,0.00466974454477579,0.00103957840291178
"220697",0.334173042964682,1.68917804471295,0.0266309570948941,0.546478812352204,0.0544318934812491,0.725821225790144,0.115271230063503,0.07570845375757,0.0382403151765495,-1.9855116142767,-3.03028525252187,0.155388672333798,0.388666832273024,2.49871625611285,0.0235437896179805,0.00122161433144937
"220713",0.375903611846594,0.666287381573677,0.0406917830730774,0.195984790228411,0.0562227244541489,0.565428525072095,0.200656393419529,0.0380651399633375,0.0320500905300844,-1.61019800151534,-3.02841642887375,0.234577497429065,0.43221653957979,1.25581537898016,0.05367731952409,0.00122919531844663
"220843",0.321565153087007,0.336681228298533,0.026143843947051,0.0636760628253278,0.0378750493374977,1.80743138201397,0.187638315817207,0.0518999012765924,0.0238786685143243,-2.15652071001387,-2.6643540131848,0.212747326000684,0.359500044767013,2.15141406094134,0.015521514501345,0.00385681695032107
"220901",0.328385981356538,1.61254123998675,0.0314352191413554,0.540406704512671,0.120341157049532,0.738810914426397,0.111512886907306,0.122976059549975,0.0579829492860164,-2.20721776034789,-2.09745350134908,0.172795559074095,0.448941937209368,2.43256979070647,0.0136494251950945,0.0179767246626463
"220999",0.795972510337033,0.325149181014818,0.258837765915501,0.0337146618581024,0.564318400664214,0.0112445482547372,0.207856387372598,0.016450307238149,0.0132114912986129,-2.16909330912956,-0.0108334532486424,0.222253483888872,1.45200071736111,0.336415653525945,0.0150378003520505,0.495678161994364
"221040",0.371766234487834,1.3457568746565,0.0332070045308475,0.42659014840133,0.0617065912587906,0.673978442206284,0.192493738472467,0.0664426497416663,0.0383784145273663,-1.57078204826328,-2.67545426467507,0.234108539445188,0.433537575738493,2.1195462780038,0.058116641667455,0.00373140280410843
"221107",0.418632491707363,1.94314196503463,0.0881767603975356,0.677337415839347,0.0896038821790995,0.808479401816404,0.0631395057312211,0.142024581825536,0.041416525825733,-2.38420944663516,-3.061366021178,0.110105551100496,0.508352919898114,2.81406175719398,0.00855792905956097,0.00110164786297142
"221220",0.400612017212474,1.18294490985368,0.0446982927636731,0.392798175000067,0.0716015445030413,0.659748781959449,0.185780870664936,0.0515496980205442,0.0639714764720846,-1.59499426707225,-2.4837462985042,0.252435122929775,0.472357424768873,1.92242728868768,0.0553567589121809,0.00650041970696192
"221336",0.342257413222682,1.04424291489198,0.0398588373222452,0.395291546774266,0.0608036266686652,0.645355618100714,0.16339745136611,0.0588137150853804,0.0274073739080227,-2.39247001368353,-3.04820117750909,0.191559874226445,0.403084012660287,1.76625794822834,0.00836769779634096,0.00115107874736613
"221511",0.365230794004049,0.447345291650093,0.0403677973591536,0.0668602680242365,0.109438504490861,1.54429408033766,0.164159773265662,0.0410851299168144,0.0258653629809647,-1.38864107384578,-1.69385478919949,0.191187049862938,0.474787917702932,1.99842749115642,0.0824709605023212,0.0451464399277793
"221585",0.33807356850244,1.29601301483501,0.0343021144608472,0.429921847777124,0.0479593248049417,0.689441106616361,0.116543728683434,0.0488855934121222,0.026762230264716,-2.41479314719957,-3.04369016471047,0.144219733645067,0.386084639970922,2.07341360005109,0.00787207403016347,0.00116847845909273
"222185",0.324330485739803,0.611043670839594,0.0222111418981007,0.155299789655172,0.0475644584414785,0.234326588909659,0.231441116836615,0.0269449700635094,0.0238973890518665,-2.25251079991353,-2.67788568145631,0.255991300749833,0.371866972545154,0.863853987983521,0.0121450057002165,0.00370442501889972
"222304",0.368058781447739,1.76234236807356,0.0266488471012858,0.573195867183383,0.028259438281413,0.774191957467339,0.118861243561002,0.0288163226812495,0.0274145327012093,-2.4418981638403,-3.04653546835452,0.146940769577715,0.39640506223853,2.60768640512727,0.00730513426227551,0.00115747584923378
"222496",0.383915986104668,1.86611987088087,0.0366351996003343,0.594654069324273,0.0843753848750753,0.745752281003137,0.0664950397841178,0.154650149542564,0.0429766837068412,-2.31938678613581,-3.05812865722797,0.115802325131326,0.46850121518579,2.69987261021677,0.0101870368725758,0.00111361972359008
"222652",1.38077748685278,0.321788784675526,0.489981137186349,0.0282648168058833,0.689842462533292,0.158094799137251,0.153668981239028,1.10524484591095,0.118410693382795,-1.81377687130518,0.241062530410281,0.308278496848819,2.12039999141626,0.480021041053556,0.03485604234389,0.595246673462489
"310463",0.406145337294911,0.78653397719453,0.0568854235276457,0.266616872590403,0.0479394709551733,0.632539091438604,0.154692925434161,0.0380568254238733,0.0508982155273061,-1.8011279060068,-3.07534660678758,0.206675179557822,0.454123349432483,1.45298609023206,0.0358413611665211,0.00105129025747755
"320022",0.3078327249757,0.205283536001011,0.0381207206593398,0.0102567403637536,0.0396095830603549,1.9670757421904,0.201647078001447,0.0281282295479587,0.0206259607249192,-1.17203878269299,-2.88410611328878,0.225907651378838,0.34766940062722,2.17568424893873,0.120590742906616,0.0019626323117933
